region,agriculturalProductsTypes,agriculturalOrganizationsBillionRubles2011,agriculturalOrganizationsBillionRubles2012,agriculturalOrganizationsBillionRubles2013,agriculturalOrganizationsBillionRubles2014,agriculturalOrganizationsBillionRubles2015,agriculturalOrganizationsBillionRubles2016,peasantFarmsBillionRubles2011,peasantFarmsBillionRubles2012,peasantFarmsBillionRubles2013,peasantFarmsBillionRubles2014,peasantFarmsBillionRubles2015,peasantFarmsBillionRubles2016,householdsBillionRubles2011,householdsBillionRubles2012,householdsBillionRubles2013,householdsBillionRubles2014,householdsBillionRubles2015,householdsBillionRubles2016
Брестская область,Сельское хозяйство - всего,6959,12852,14054,17684,19472,2319,182,257,378,612,881,116,2382,3831,3574,4857,4715,505
Брестская область,Растениеводство,2657,3965,4644,5853,6262,788,174,239,358,591,846,113,1791,2729,2499,3871,3770,409
Брестская область,Животноводство,4302,8887,9410,11831,13210,1531,8,18,20,21,35,3,591,1102,1075,986,945,96
Витебская область,Сельское хозяйство - всего,6068,11143,11461,12930,13533,1522,64,97,117,171,177,16,2075,2869,2977,3491,3558,389
Витебская область,Растениеводство,2364,4088,4048,4575,4993,546,46,66,89,145,147,13,1593,2043,2229,2724,2848,317
Витебская область,Животноводство,3704,7055,7413,8355,8540,976,18,31,28,26,30,3,482,826,748,767,710,72
Гомельская область,Сельское хозяйство - всего,5685,10781,12507,16257,16879,1975,108,138,205,281,279,32,1974,3546,3553,4388,4532,494
Гомельская область,Растениеводство,2217,3688,4428,5371,4204,667,92,108,168,232,210,23,1509,2710,2634,3477,3620,408
Гомельская область,Животноводство,3468,7093,8079,10886,12675,1308,16,30,37,49,69,9,465,836,919,911,912,86
Гродненская область,Сельское хозяйство - всего,6443,11292,13420,16911,17628,1975,110,177,206,282,338,31,1807,3123,3250,4203,4098,452
Гродненская область,Растениеводство,2754,3716,5071,6938,6505,736,91,128,167,251,296,27,1348,2298,2369,3511,3456,387
Гродненская область,Животноводство,3689,7576,8349,9973,11123,1239,19,49,39,31,42,4,459,825,881,692,642,65
Минская область,Сельское хозяйство - всего,9251,16895,18947,23307,25312,2967,166,204,373,526,611,62,3775,5364,5269,6459,6483,722
Минская область,Растениеводство,3829,6375,7065,8967,9266,1086,149,166,331,456,533,53,3193,4254,4309,5617,5648,639
Минская область,Животноводство,5422,10520,11882,14340,16046,1881,17,38,42,70,78,9,582,1110,960,842,835,83
Могилевская область,Сельское хозяйство - всего,5025,9288,10386,12803,13046,1499,118,179,255,340,310,34,1944,2765,2842,3417,3426,380
Могилевская область,Растениеводство,2260,3755,4136,5502,4675,593,104,149,226,309,277,30,1593,2089,2272,2888,2926,330
Могилевская область,Животноводство,2765,5533,6250,7301,8371,906,14,30,29,31,33,4,351,676,570,529,500,50
